,agg_net_price_per_unit,aggregator_name,disc_code,disc_percentage,e_backup_product_id,e_product_id,imprint,misc_product_ids,net_units,p_backup_product_id,p_product_id,pod,product_format,product_title,product_type,publisher_price,region_of_sale,revenue_value,sale_type,temp_transaction_date,tnf_net_price_per_unit,total_rental_duration,total_returns_count,total_returns_value,total_sales_count,total_sales_value,trans_currency,trans_type,transaction_date,vendor_code
51,56.8,GOOGLE,NA,0.19999999999999996,NA,9781136247125,Taylor & Francis,NA,1,NA,NA,NA,NA,The Psychology of Eyewitness Identification,EBK,71.0,CA,56.8,PURCHASE,31-10-2019,56.8,0,0,0.0,1,56.8,CAD,SALE,31-10-2019,NA
52,62.35,GOOGLE,NA,0.19999999999999996,NA,9781134110018,Routledge,NA,1,NA,NA,NA,NA,Nuclear Proliferation and International Security,EBK,77.94,CA,62.35,PURCHASE,31-10-2019,62.35,0,0,0.0,1,62.35,CAD,SALE,31-10-2019,NA
53,54.85,GOOGLE,NA,0.19999999999999996,NA,9781466584037,CRC Press,NA,1,NA,NA,NA,NA,Partial Differential Equations: Topics in Fourier Analysis,EBK,68.56,CA,54.85,PURCHASE,31-10-2019,54.85,0,0,0.0,1,54.85,CAD,SALE,31-10-2019,NA
54,60.27,GOOGLE,NA,0.19999999999999996,NA,9781136159251,Routledge,NA,1,NA,NA,NA,NA,Public Relations and Communication Management: Current Trends and Emerging Topics,EBK,75.34,CA,60.27,PURCHASE,31-10-2019,60.27,0,0,0.0,1,60.27,CAD,SALE,31-10-2019,NA
55,60.27,GOOGLE,NA,0.19999999999999996,NA,9781351837316,CRC Press,NA,1,NA,NA,NA,NA,Near-Earth Laser Communications,EBK,75.34,CA,60.27,PURCHASE,31-10-2019,60.27,0,0,0.0,1,60.27,CAD,SALE,31-10-2019,NA
56,43.3,GOOGLE,NA,0.19999999999999996,NA,9781412828512,Transaction Publishers,NA,1,NA,NA,NA,NA,Mental institutions in America,EBK,54.12,CA,43.3,PURCHASE,31-10-2019,43.3,0,0,0.0,1,43.3,CAD,SALE,31-10-2019,NA
57,60.27,GOOGLE,NA,0.19999999999999996,NA,9781136159251,Routledge,NA,1,NA,NA,NA,NA,Public Relations and Communication Management: Current Trends and Emerging Topics,EBK,75.34,CA,60.27,PURCHASE,31-10-2019,60.27,0,0,0.0,1,60.27,CAD,SALE,31-10-2019,NA
58,95.63,GOOGLE,NA,0.19999999999999996,NA,9781135250683,Routledge,NA,1,NA,NA,NA,NA,The Future of Excellence in Public Relations and Communication Management: Challenges for the Next Generation,EBK,119.54,CA,95.63,PURCHASE,31-10-2019,95.63,0,0,0.0,1,95.63,CAD,SALE,31-10-2019,NA
59,39.18,GOOGLE,NA,0.19999999999999996,NA,9781317193753,Routledge,NA,1,NA,NA,NA,NA,Increasing Resilience in Police and Emergency Personnel: Strengthening Your Mental Armor,EBK,48.97,CA,39.18,PURCHASE,31-10-2019,39.18,0,0,0.0,1,39.18,CAD,SALE,31-10-2019,NA
60,47.79,GOOGLE,NA,0.19999999999999996,NA,9781135860592,Routledge,NA,-1,NA,NA,NA,NA,Gatekeeping Theory,EBK,59.74,CA,-47.79,REFUNDS,31-10-2019,47.79,0,1,47.79,0,0.0,CAD,SALE,31-10-2019,NA
